"crop","country","region","climate_scenario","future_mid_point","projected_yield_t_ha","global_delta_t_from_pre_industrial_period","drought_index","annual_precipitation_change_each_study_mm"
"Maize","Croatia","Europe","RCP8.5",2080,3.3743,4.118,-0.0893494751072956,-130.0112
"Maize","Egypt","Africa","RCP2.6",2080,0.4484,1.833,0.62103030214988,1.0956
"Maize","Egypt","Africa","RCP4.5",2080,0.0641,2.607,-1.65608080573301,-2.9216
"Maize","Egypt","Africa","RCP8.5",2080,2e-04,4.118,-1.24206060429976,-2.1912
"Maize","Ethiopia","Africa","RCP2.6",2080,9.1951,1.833,0.0607134344126965,39.0763999999999
"Maize","Ethiopia","Africa","RCP4.5",2080,7.4607,2.607,-0.00453932219908017,-2.92160000000003
"Maize","Ethiopia","Africa","RCP8.5",2080,3.8107,4.118,0.208241405882801,134.0284
"Maize","France","Europe","RCP2.6",2080,9.8757,1.833,0.0288870841463055,28.4856
"Maize","France","Europe","RCP4.5",2080,8.8301,2.607,-0.0366643760318493,-36.1548
"Maize","France","Europe","RCP8.5",2080,5.3144,4.118,-0.0599962516884807,-59.1624
"Maize","Germany","Europe","RCP2.6",2080,7.3966,1.833,0.04787180436441,40.1719999999999
"Maize","Germany","Europe","RCP4.5",2080,7.2837,2.607,0.0230655057392158,19.3556
"Maize","Germany","Europe","RCP8.5",2080,5.8914,4.118,0.0535293812438405,44.9196
"Maize","Greece","Europe","RCP2.6",2080,7.3542,1.833,-0.0486230771545374,-35.7896
"Maize","Greece","Europe","RCP4.5",2080,4.658,2.607,-0.102207692794232,-75.2312
"Maize","Greece","Europe","RCP8.5",2080,1.5524,4.118,-0.129000000614079,-94.952
"Maize","Hungary","Europe","RCP2.6",2080,7.0638,1.833,-0.017325626436159,-10.5908
"Maize","Hungary","Europe","RCP4.5",2080,6.3957,2.607,-0.0227025449853119,-13.8776
"Maize","Hungary","Europe","RCP8.5",2080,3.7182,4.118,-0.103356323222604,-63.1796
"Maize","India","Asia","RCP2.6",2080,1.47,1.833,0.0725856029381016,79.6135999999999
"Maize","India","Asia","RCP4.5",2080,1.1511,2.607,0.0865699851555342,94.9520000000001
"Maize","India","Asia","RCP8.5",2080,0.5713,4.118,0.126525362919627,138.776
"Maize","Indonesia","Asia","RCP2.6",2080,2.8528,1.833,0.00985377581047287,38.346
"Maize","Indonesia","Asia","RCP4.5",2080,1.6157,2.607,0.0236490619451349,92.0304000000001
"Maize","Indonesia","Asia","RCP8.5",2080,0.4885,4.118,0.0330336103360614,128.5504
"Maize","Iran","Asia","RCP2.6",2080,1.5217,1.833,-0.0539784041171104,-4.7476
"Maize","Iran","Asia","RCP4.5",2080,0.9102,2.607,-0.107956808234221,-9.49520000000001
"Maize","Iran","Asia","RCP8.5",2080,0.2353,4.118,-0.0249131095925128,-2.19120000000003
"Maize","Italy","Europe","RCP2.6",2080,10.5945,1.833,-0.0386882924441246,-37.9808
"Maize","Italy","Europe","RCP4.5",2080,9.2739,2.607,-0.0703085314609572,-69.0228
"Maize","Italy","Europe","RCP8.5",2080,4.5317,4.118,-0.101556767665827,-99.6996
"Maize","Kenya","Africa","RCP2.6",2080,5.1981,1.833,0.0376768277445135,48.9368
"Maize","Kenya","Africa","RCP4.5",2080,4.6568,2.607,0.071979611213399,93.4912
"Maize","Kenya","Africa","RCP8.5",2080,3.5125,4.118,0.0989719654184236,128.5504
