"crop","climate_scenario","region","n_countries","n_observations","mean_impact","median_impact","sd_impact","mean_temp_change","pct_negative","mean_yield"
"Wheat","A1b","North America",2,2,-8.02972127364485,-8.02972127364485,6.96637618971566,2.7475,100,2.19279539585
"Wheat","RCP4.5","Europe",24,116,-7.64840129310345,-9.72612,17.3967028012927,1.56306,74.1379310344828,5.96559166666667
"Wheat","RCP2.6","North America",2,16,-7.5932775,-6.25713,12.4818205736575,1.23871428571429,87.5,5.98564166666667
"Wheat","RCP2.6","Asia",10,111,-7.55051086562446,-3.45802,24.3697234391235,1.45350191570881,56.7567567567568,2.87792621004566
"Maize","A1FI, B1","Asia",1,16,-7.46875,-11.35,13.3642667213731,NA,81.25,NA
"Wheat","RCP4.5","Asia",11,270,-7.40106910906712,-5.22888,20.7745136184673,1.93796055226824,63.3333333333333,3.05991853509319
"Soybean","RCP6.0","Global",1,1,-7.2,-7.2,NA,NA,100,NA
"Maize","RCP4.5","North America",2,67,-7.09311074626866,-6.76803,18.3467198266725,2.67681081081081,67.1641791044776,6.86225476186046
"Rice","RCP8.5","Asia",17,438,-7.02193156467852,-4.995,20.1817096516404,2.66274381104034,64.3835616438356,5.17873919052017
"Maize","A2","Asia",4,29,-7.00264763346395,-5.3,14.5460480985087,1.6304347826087,75.8620689655172,7.79388888888889
"Maize","RCP2.6","Central and South America",5,169,-6.83246816568047,-5.14553,25.3729620267027,0.727866666666667,60.3550295857988,4.47878333333333
"Rice","RCP6.0","Global",1,1,-6.8,-6.8,NA,NA,100,NA
"Maize","B1","Europe",14,28,-6.75677868287183,-14.7347218414544,30.8846873640565,1.53214285714286,71.4285714285714,2.51684986933214
"Wheat","Others","Europe",10,80,-6.50552473632352,-5.3532,16.2486790260453,2.94871428571429,61.25,6.81613430245536
"Wheat","RCP4.5","Australasia",1,38,-6.38165184210526,-4.839245,19.5130464985995,1.63441176470588,63.1578947368421,2.94211538461538
"Maize","RCP6.0","North America",2,32,-6.2829775,-10.3125,22.0715761320961,4,71.875,5.15858445
"Maize","RCP2.6","Africa",11,273,-6.01502091575093,-4.91146,28.6618902341178,0.793811320754717,61.9047619047619,4.27102449056604
"Maize","B2","Asia",2,20,-5.92141394318182,-3.495,11.411803993811,1.4,70,NA
"Maize","A2b","Africa",7,26,-5.8053075,-4.49475,6.31693119545659,NA,88.4615384615385,NA
"Maize","RCP8.5","Global",1,13,-5.76538461538462,-1.1,10.2743082616987,NA,69.2307692307692,NA
"Maize","RCP6.0","Central and South America",5,34,-5.67444823529412,-3.899355,10.8835483766926,NA,73.5294117647059,NA
"Rice","Others","Asia",6,91,-5.58967437812188,-5,13.4483916230287,2.81648351648352,67.032967032967,NA
"Wheat","Others","Africa",1,18,-5.58784565308657,-15.3333388888889,36.5212533042636,3.98977777777778,66.6666666666667,3.53604166666666
"Wheat","RCP8.5","Global",1,4,-5.35,-4.3,14.3437559005071,NA,50,NA
"Wheat","A1b, B1, and A2","Asia",1,1,-4.91192983333333,-4.91192983333333,NA,1,100,NA
"Maize","RCP6.0","Africa",8,63,-4.84422365079365,-2.64304,28.8033125153142,NA,55.5555555555556,NA
"Rice","RCP8.5","Africa",19,92,-4.50026913043478,-0.419625,20.1469839550888,3.58262162162162,52.1739130434783,4.46470555555556
"Maize","A2b","Central and South America",5,17,-4.27443,-5.1381,3.32248974220882,NA,88.2352941176471,NA
"Maize","A2b","Asia",10,40,-4.1243696875,-4.925769375,5.46629783131543,NA,87.5,NA
"Rice","B2","Asia",1,21,-3.93133071774892,-3,7.01742387869452,1.72380952380952,85.7142857142857,NA
"Rice","RCP4.5","North America",1,6,-3.895275,-3.04326,6.15979293135005,1.59233333333333,66.6666666666667,6.75976666666667
"Rice","A2b","Central and South America",1,3,-3.89179608333333,-6.11325,5.97163790339539,NA,66.6666666666667,NA
"Rice","A1B","Asia",1,9,-3.86111111111111,-2.61,5.70265824954566,2.63333333333333,66.6666666666667,4.56866666666667
"Wheat","A2b","Australasia",1,3,-3.8039075,2.627625,13.2118119229979,NA,33.3333333333333,NA
"Maize","A1b, B1, and A2","Asia",1,1,-3.77782883333333,-3.77782883333333,NA,1,100,NA
"Soybean","RCP2.6","Global",1,1,-3.6,-3.6,NA,NA,100,NA
"Rice","RCP6.0","Asia",3,28,-3.545,6.02,21.7885116687841,1.78125,35.7142857142857,2.7285616
"Rice","RCP2.6","North America",1,6,-3.31365333333333,-3.206675,3.31892980928291,1.188,83.3333333333333,6.83906666666667
"Rice","RCP2.6","Global",1,1,-3.3,-3.3,NA,NA,100,NA
"Maize","RCP8.5","Europe",22,403,-3.29185516129032,-1.62077,27.3666065151432,2.50320512820513,54.0942928039702,5.55885128205128
"Rice","A1FI+B1","Asia",1,22,-2.76818545454545,-1.69997,3.38953440951174,2,86.3636363636364,NA
"Rice","RCP2.6","Asia",16,166,-2.72322097940562,0.829295,15.6682978541333,1.04880067510549,47.5903614457831,5.74679223621301
"Rice","A2b","Asia",14,59,-2.52537995762712,-2.223,4.92100882860137,NA,72.8813559322034,NA
"Wheat","RCP2.6","Global",1,2,-2.5,-2.5,6.22253967444162,NA,50,NA
"Wheat","A2b","Central and South America",3,9,-2.38235544444444,-2.99999875,6.40359406218472,NA,66.6666666666667,NA
"Wheat","RCP4.5","Global",1,3,-2.2,1.5,8.01810451416044,NA,33.3333333333333,NA
"Rice","A1b, B1, and A2","Central and South America",1,1,-2.13988566666667,-2.13988566666667,NA,1,100,NA
"Rice","RCP4.5","Global",1,2,-2,-2,4.94974746830583,NA,50,NA
"Rice","RCP2.6","Africa",3,18,-1.92753166666667,2.451695,10.7192239311398,0.805555555555556,33.3333333333333,5.25535
"Rice","RCP4.5","Asia",18,384,-1.7872308601503,-1.29515,17.5177444299891,1.78603136801541,53.90625,5.36134316640368
"Wheat","A2","Europe",1,2,-1.77,-1.77,5.86898628384835,1,50,4.057
"Maize","Others","North America",2,132,-1.66400135523358,-3.375,18.901537090991,2.51357453666398,60.6060606060606,6.40945098039216
"Maize","RCP6.0","Asia",10,92,-1.65664369565218,-0.69861,22.1552559713704,1.39,51.0869565217391,8.52
"Wheat","A2b","Asia",9,30,-1.4760912,-1.568423125,4.45395147608567,NA,66.6666666666667,NA
"Wheat","A1b, B1, and A2","Central and South America",2,2,-1.36914716666667,-1.36914716666667,1.0899888397431,1,100,NA
"Wheat","A2b","Africa",4,12,-1.166035375,-0.12285,4.99639940571264,NA,58.3333333333333,NA
"Rice","RCP4.5","Africa",3,18,-1.13806277777778,0.910305,13.0578537164645,1.16888888888889,33.3333333333333,5.06929444444444
"Rice","A2b","North America",1,3,-1.05299516666667,0.318267,2.68793700937403,NA,33.3333333333333,NA
"Maize","A2b","Europe",11,33,-0.945250113636363,-1.6575,6.93254707626406,NA,75.7575757575758,NA
"Maize","RCP2.6","North America",2,75,-0.708032799999999,-0.94676,8.61027764828841,1.43033333333333,53.3333333333333,8.7674
"Rice","RCP8.5","Central and South America",1,12,-0.689638333333333,-3.088065,14.0784585129441,2.10933333333333,58.3333333333333,4.29215
"Wheat","A2b","North America",2,8,-0.5024198125,2.1049845,5.9547562780257,NA,37.5,NA
"Maize","A2","Africa",2,17,-0.226470588235293,6.1,21.6829794831039,2.51764705882353,35.2941176470588,2.00951190625
"Maize","A2b","North America",2,12,-0.115836875000001,0.3705,3.68917917461095,NA,41.6666666666667,NA
"Wheat","RCP8.5","Europe",24,168,0.384358529761904,-0.998965,21.9487589551386,2.48758,51.1904761904762,5.55239791666667
"Maize","RCP6.0","Europe",13,90,0.628878222222223,2.07284,20.4114931337595,NA,47.7777777777778,NA
"Wheat","A1FI+B1","Asia",1,22,0.882649545454546,-0.27693,5.58787953992642,2,63.6363636363636,NA
"Soybean","RCP4.5","Global",1,2,1.05,1.05,9.82878425849301,NA,50,NA
"Wheat","Others","Australasia",1,37,1.394999496914,-0.41276,10.9065159838592,3.00594594594595,59.4594594594595,NA
"Wheat","A2b","Europe",16,49,1.44154482653061,1.75695,5.69550850782974,NA,42.8571428571429,NA
"Maize","RCP4.5","Europe",22,226,1.59326221238938,2.208945,22.1419292044417,1.55482051282051,42.4778761061947,6.62019358974359
"Wheat","B2","North America",1,2,1.95142857142855,1.95142857142855,13.4229070120097,2.85,50,NA
"Maize","A1b, B1, and A2","Central and South America",2,2,2.62064483333333,2.62064483333333,4.55242911770458,1,50,NA
"Soybean","Others","North America",1,34,2.96943193299657,3.92947558770342,31.2986069361868,2.10892857142857,41.1764705882353,1.5145
"Rice","RCP8.5","Europe",2,36,3.32504555555556,-0.100175,19.0597693226308,1.987,50,NA
"Wheat","B2","Asia",1,11,3.72948052169422,4.3875,12.1917084533774,1.94545454545455,36.3636363636364,NA
"Wheat","RCP8.5","North America",2,139,3.83273877697842,5.2,19.113643177284,3.23748387096774,30.9352517985612,4.12841208992662
"Rice","RCP4.5","Europe",1,4,4,5.75,11.0607413856396,0.715,25,NA
"Maize","RCP2.6","Europe",13,441,4.35215215419502,3.41454,17.286943680453,1.22794871794872,38.3219954648526,6.92622435897436
"Maize","A1b, B1, and A2","Africa",2,2,4.67480633333333,4.67480633333333,3.97212803129047,1,0,NA
"Rice","A2","Asia",2,21,5.07208778679654,3.705,15.0502375544373,2.3,33.3333333333333,NA
"Maize","B2","Africa",1,16,5.1496875,8.2,16.6472901166877,1.95,31.25,2.098807278125
"Wheat","RCP4.5","North America",2,128,5.3198046875,5.281445,11.0397759030318,2.54384,23.4375,4.20855416925524
"Wheat","Others","North America",2,90,5.4848332998256,-0.09718,22.9633058047833,2.9232257012394,50,3.51628787878788
